Image_path,throttle,brake,steering,velocity
/IMGCapturedImage15235.jpg,1,0,1,30.4263851165771
/IMGCapturedImage10233.jpg,1,0,0,30.7399589538574
/IMGCapturedImage4646.jpg,1,0,1,30.3886264801025
/IMGCapturedImage14831.jpg,1,0,0,30.8994804382324
/IMGCapturedImage11361.jpg,1,0,0,30.883797454834
/IMGCapturedImage10773.jpg,1,0,1,30.572887802124
/IMGCapturedImage5899.jpg,1,0,0,30.2298431396484
/IMGCapturedImage1362.jpg,1,0,1,30.7686126708984
/IMGCapturedImage2850.jpg,1,0,-1,30.942945098877
/IMGCapturedImage5515.jpg,1,0,1,30.0864269256592
/IMGCapturedImage1479.jpg,1,0,0,30.6506401062012
/IMGCapturedImage14436.jpg,1,0,0,30.7672050476074
/IMGCapturedImage6812.jpg,1,0,-1,30.9970699310303
/IMGCapturedImage9705.jpg,1,0,1,30.756974029541
/IMGCapturedImage13910.jpg,1,0,-1,30.135803604126
/IMGCapturedImage13850.jpg,1,0,0,30.1768581390381
/IMGCapturedImage13643.jpg,1,0,0,30.1614154815674
/IMGCapturedImage6965.jpg,1,0,1,30.2697406768799
/IMGCapturedImage1187.jpg,0,0,0,22.8464778900147
/IMGCapturedImage1986.jpg,1,0,-1,31.7363708496094
/IMGCapturedImage2151.jpg,1,0,0,30.9255764007568
/IMGCapturedImage7527.jpg,1,0,1,30.3530754089355
/IMGCapturedImage3024.jpg,1,0,1,30.6264324188232
/IMGCapturedImage3426.jpg,1,0,0,30.088037109375
/IMGCapturedImage12863.jpg,1,0,1,30.1035758972168
/IMGCapturedImage10437.jpg,1,0,0,30.5352149963379
/IMGCapturedImage15499.jpg,1,0,1,30.6835201263428
/IMGCapturedImage10414.jpg,1,0,1,30.0761821746826
/IMGCapturedImage8803.jpg,1,0,0,30.234024810791
/IMGCapturedImage9072.jpg,1,0,-1,30.8074699401855
/IMGCapturedImage10885.jpg,1,0,1,30.7863796234131
/IMGCapturedImage11728.jpg,1,0,1,30.2737232208252
/IMGCapturedImage15691.jpg,1,0,-1,30.3028816223145
/IMGCapturedImage14406.jpg,1,0,0,30.4969722747803
/IMGCapturedImage7590.jpg,0,0,0,0.0001751904725097
/IMGCapturedImage1651.jpg,1,0,-1,30.1092338562012
/IMGCapturedImage9439.jpg,1,0,0,30.1842567443848
/IMGCapturedImage15005.jpg,1,0,0,30.2240924835205
/IMGCapturedImage15129.jpg,1,0,0,30.9491008758545
/IMGCapturedImage10097.jpg,1,0,1,30.9576908111572
/IMGCapturedImage2173.jpg,1,0,-1,30.7814083099365
/IMGCapturedImage3509.jpg,1,0,1,30.3135452270508
/IMGCapturedImage9242.jpg,0,0,0,32.1754085540772
/IMGCapturedImage3187.jpg,1,0,-1,30.4785598754883
/IMGCapturedImage14621.jpg,1,0,0,30.206205368042
/IMGCapturedImage15467.jpg,1,0,0,30.6215641021729
/IMGCapturedImage10680.jpg,1,0,0,30.2032974243164
/IMGCapturedImage4546.jpg,1,0,0,30.9072875976563
/IMGCapturedImage14969.jpg,1,0,-1,30.6674800872803
/IMGCapturedImage7433.jpg,1,0,1,30.8855243682861
/IMGCapturedImage6732.jpg,1,0,0,30.3723873138428
/IMGCapturedImage4294.jpg,1,0,-1,30.014164352417
/IMGCapturedImage10954.jpg,1,0,-1,30.5536926269531
/IMGCapturedImage1029.jpg,0,1,0,30.0180713653564
/IMGCapturedImage12824.jpg,1,0,0,30.7488716125488
/IMGCapturedImage16138.jpg,0,1,0,0.358067339658737
/IMGCapturedImage1928.jpg,1,0,1,31.739852142334
/IMGCapturedImage10143.jpg,1,0,1,30.6589828491211
/IMGCapturedImage13907.jpg,1,0,-1,30.8900665283203
/IMGCapturedImage11689.jpg,1,0,0,30.5284378051758
/IMGCapturedImage15269.jpg,1,0,0,30.4107776641846
/IMGCapturedImage10257.jpg,1,0,-1,30.9477172851563
/IMGCapturedImage9724.jpg,1,0,0,31.0085094451904
/IMGCapturedImage3374.jpg,1,0,1,30.5676452636719
/IMGCapturedImage3281.jpg,1,0,0,30.6464859008789
